season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
1,0,500,1,5,2,0,2,600,200,0,2
2,2,500,0,5,2,0,3,400,0,50,16
1,2,1000,0,3,3,0,2,300,50,0,9
2,1,500,0,5,3,0,3,100,100,125,7
2,2,500,0,4,3,0,3,200,0,150,1
2,2,500,0,5,2,0,3,75,50,150,8
2,1,500,0,4,2,0,3,200,100,150,10
2,2,500,0,4,2,0,3,400,50,100,5
2,1,1000,0,5,2,0,3,400,400,400,8
1,2,500,1,5,2,0,2,300,50,0,2
2,1,500,0,5,2,0,3,200,400,200,8
2,0,500,1,5,3,0,2,100,0,0,4
1,2,500,0,5,2,0,2,25,0,10,11
2,2,1000,0,4,2,0,3,400,0,600,5
2,2,500,1,4,2,0,2,200,400,0,2
2,2,1000,0,5,2,0,3,400,600,400,8
2,1,1000,0,5,3,0,3,75,75,50,7
1,0,1000,1,5,2,0,1,300,0,0,6
2,2,500,0,5,3,0,3,600,600,200,7
2,2,1000,0,5,3,0,2,400,600,0,9
2,2,1000,0,4,3,0,3,125,25,75,1
2,1,500,0,4,3,0,3,400,400,600,1
2,2,500,1,5,2,0,2,300,50,0,2
2,1,500,0,4,2,0,1,150,0,0,14
2,2,500,0,4,3,0,3,200,50,50,1
2,0,1000,1,5,2,0,2,200,200,0,2
2,0,1000,1,5,2,0,1,300,0,0,6
1,2,500,0,5,2,0,3,50,0,25,11
1,2,500,0,4,3,0,2,600,0,0,15
2,1,1000,0,5,3,0,3,50,0,75,7
2,1,500,0,4,3,0,3,125,75,75,1
2,0,500,0,3,1,0,3,25,0,125,11
2,1,1000,0,4,2,0,3,150,50,150,10
2,1,500,0,5,1,0,2,75,0,25,11
2,2,500,0,4,3,0,3,75,0,75,1
1,1,1000,1,3,2,0,2,400,200,0,2
2,2,1000,0,5,2,0,1,400,0,0,14
2,1,500,1,5,2,0,2,200,200,0,2
2,1,1000,1,5,1,0,3,75,0,150,13
2,2,1000,0,4,3,0,3,150,75,150,1
2,1,1000,0,4,2,0,3,400,200,200,10
2,2,1000,1,5,2,0,2,150,100,0,2
2,2,500,0,5,3,0,3,50,25,50,7
2,1,500,0,5,3,0,3,150,0,150,7
2,1,500,0,5,2,0,3,25,0,150,16
2,1,500,0,4,2,0,3,200,200,400,10
2,2,500,1,4,2,0,2,400,600,0,2
1,1,500,0,3,3,0,2,400,100,0,9
1,1,1000,1,3,2,0,2,100,100,0,2
2,2,1000,0,4,3,0,3,100,25,25,1
2,0,500,1,3,3,0,2,400,0,0,4
2,0,1000,0,4,1,0,3,25,0,50,12
2,0,1000,0,4,1,0,3,200,0,200,12
2,2,500,0,3,2,0,3,75,75,25,11
2,1,1000,0,5,3,0,3,100,0,200,7
2,1,500,0,4,3,0,3,100,75,25,1
2,1,1000,0,4,2,0,3,50,50,150,10
2,0,500,0,4,1,0,3,300,0,100,12
1,1,500,1,4,3,0,2,100,0,0,4
1,2,1000,0,3,2,0,1,100,0,0,14
2,2,1000,0,4,3,0,3,75,100,75,1
