season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
1,1,1000,0,4,1,0,3,125,0,75,407
2,1,500,0,4,3,0,3,75,50,75,362
2,2,500,0,5,2,0,3,400,200,400,163
2,1,500,0,4,3,0,3,50,0,75,353
2,2,500,0,5,3,0,3,300,0,50,226
2,0,500,0,5,1,0,3,125,75,100,262
2,2,1000,0,5,3,0,3,600,200,200,210
2,2,1000,0,5,3,0,3,25,50,150,236
2,1,1000,0,4,2,0,3,100,0,200,318
2,1,1000,0,5,3,0,3,50,50,150,246
2,0,500,0,5,1,0,3,100,25,150,262
2,1,1000,0,5,2,0,1,150,0,0,18
1,1,500,0,4,1,0,3,600,0,400,413
2,2,1000,0,5,2,0,3,100,25,25,199
2,2,500,0,4,2,0,1,300,0,0,10
2,1,1000,0,4,3,0,3,100,25,125,372
2,2,500,0,5,2,0,3,400,100,150,165
1,2,500,1,4,2,0,2,300,100,0,30
2,0,1000,1,4,2,0,2,15,25,0,68
2,2,1000,0,5,3,0,3,400,0,100,225
2,0,500,0,4,1,0,3,150,0,200,379
2,1,1000,0,5,3,0,3,400,50,200,252
2,1,500,0,5,2,0,3,600,600,600,170
2,0,500,0,3,3,0,2,150,0,0,132
2,2,500,0,4,2,0,3,400,400,200,295
1,1,500,1,5,3,0,2,200,0,0,145
1,0,500,1,3,2,0,2,200,600,0,62
1,1,1000,0,4,1,0,3,400,0,150,414
1,1,500,0,5,2,0,3,75,0,25,398
1,2,1000,0,4,1,0,3,200,0,200,415
2,2,500,0,4,3,0,3,125,50,50,340
2,0,1000,0,5,2,0,3,25,25,50,264
2,2,500,0,5,2,0,3,100,0,100,188
1,2,1000,0,5,2,0,1,400,0,0,11
2,1,1000,0,5,2,0,3,50,0,200,191
2,1,500,0,4,2,0,3,100,25,125,306
2,1,500,0,5,2,0,3,400,50,200,173
2,1,1000,0,5,3,0,2,300,100,0,89
2,1,1000,0,5,3,0,3,200,200,600,248
1,1,500,1,3,2,0,2,400,200,0,35
1,1,1000,0,5,1,0,2,150,0,25,393
